@relation postag

@attribute word string
@attribute tag_two_before string
@attribute tag_before string
@attribute tag string

@data
desain, CCONJ, PROPN, NOUN
dunia, PROPN, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Sedangkan, UNKNOWN2, UNKNOWN1, SCONJ
Permintaan, UNKNOWN1, SCONJ, PROPN
adalah, SCONJ, PROPN, AUX
keinginan, PROPN, AUX, NOUN
akan, AUX, NOUN, ADV
sesuatu, NOUN, ADV, NOUN
yang, ADV, NOUN, PRON
didukung, NOUN, PRON, VERB
dengan, PRON, VERB, ADP
kemampuan, VERB, ADP, NOUN
serta, ADP, NOUN, CCONJ
kesediaan, NOUN, CCONJ, NOUN
membelinya, CCONJ, NOUN, PART
xDOT, NOUN, PART, PUNCT
Let, UNKNOWN2, UNKNOWN1, PROPN
It, UNKNOWN1, PROPN, PROPN
Shine, PROPN, PROPN, PROPN
adalah, PROPN, PROPN, AUX
film, PROPN, AUX, NOUN
televisi, AUX, NOUN, NOUN
2012, NOUN, NOUN, NUM
xDOT, NOUN, NUM, PUNCT
Delapn, UNKNOWN2, UNKNOWN1, NUM
tim, UNKNOWN1, NUM, NOUN
bersaing, NUM, NOUN, VERB
pada, NOUN, VERB, ADP
putaran, VERB, ADP, NOUN
pertama, ADP, NOUN, NUM
musim, NOUN, NUM, NOUN
;, NUM, NOUN, PUNCT
tujuh, NOUN, PUNCT, NUM
tim, PUNCT, NUM, NOUN
dari, NUM, NOUN, ADP
Sydney, NOUN, ADP, PROPN
dan, ADP, PROPN, CCONJ
satu, PROPN, CCONJ, DET
tim, CCONJ, DET, NOUN
dari, DET, NOUN, ADP
Newcastle, NOUN, ADP, PROPN
xDOT, ADP, PROPN, PUNCT
Struktur, UNKNOWN2, UNKNOWN1, PROPN
Organisasi, UNKNOWN1, PROPN, PROPN
program, PROPN, PROPN, NOUN
Studi, PROPN, NOUN, PROPN
susun, NOUN, PROPN, VERB
untuk, PROPN, VERB, ADP
mengakomodasi, VERB, ADP, VERB
pendelegasian, ADP, VERB, NOUN
wewenang, VERB, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
pembagian, NOUN, PUNCT, NOUN
tugas, PUNCT, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
dan, NOUN, PUNCT, CCONJ
fleksibilitas, PUNCT, CCONJ, NOUN
aktifitas, CCONJ, NOUN, NOUN
untuk, NOUN, NOUN, ADP
pengembangan, NOUN, ADP, NOUN
program, ADP, NOUN, NOUN
studi, NOUN, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Masa, UNKNOWN2, UNKNOWN1, NOUN
pendidikan, UNKNOWN1, NOUN, NOUN
hampir, NOUN, NOUN, ADV
sama, NOUN, ADV, ADJ
dengan, ADV, ADJ, ADP
SMK, ADJ, ADP, PROPN
pada, ADP, PROPN, ADP
umumnya, PROPN, ADP, ADV
yaitu, ADP, ADV, CCONJ
jenjang, ADV, CCONJ, NOUN
pendidikan, CCONJ, NOUN, NOUN
kelas, NOUN, NOUN, NOUN
10, NOUN, NOUN, NUM
xCOMMA, NOUN, NUM, PUNCT
11, NUM, PUNCT, NUM
dan, PUNCT, NUM, CCONJ
12, NUM, CCONJ, NUM
dengan, CCONJ, NUM, ADP
sistem, NUM, ADP, NOUN
pendidikan, ADP, NOUN, NOUN
serupa, NOUN, NOUN, ADJ
xCOMMA, NOUN, ADJ, PUNCT
dengan, ADJ, PUNCT, ADP
praktik, PUNCT, ADP, NOUN
kerja, ADP, NOUN, VERB
industri, NOUN, VERB, ADJ
untuk, VERB, ADJ, ADP
memperoleh, ADJ, ADP, VERB
pengalaman, ADP, VERB, NOUN
kerja, VERB, NOUN, NOUN
dilaksanakan, NOUN, NOUN, VERB
pada, NOUN, VERB, ADP
tahun, VERB, ADP, NOUN
keempat, ADP, NOUN, NUM
xDOT, NOUN, NUM, PUNCT
Sutradara, UNKNOWN2, UNKNOWN1, PROPN
film, UNKNOWN1, PROPN, NOUN
ini, PROPN, NOUN, DET
Lasse, NOUN, DET, PROPN
Hallström, DET, PROPN, PROPN
dari, PROPN, PROPN, ADP
novel, PROPN, ADP, NOUN
Nicholas, ADP, NOUN, PROPN
Sparks, NOUN, PROPN, PROPN
dengan, PROPN, PROPN, ADP
judul, PROPN, ADP, NOUN
yang, ADP, NOUN, PRON
sama, NOUN, PRON, ADJ
xDOT, PRON, ADJ, PUNCT
Bandara, UNKNOWN2, UNKNOWN1, NOUN
ini, UNKNOWN1, NOUN, DET
juga, NOUN, DET, ADV
menjadi, DET, ADV, VERB
home, ADV, VERB, NOUN
-, VERB, NOUN, PUNCT
base, NOUN, PUNCT, NOUN
bagi, PUNCT, NOUN, ADP
Skuadron, NOUN, ADP, PROPN
Udara, ADP, PROPN, PROPN
12, PROPN, PROPN, NUM
TNI, PROPN, NUM, NOUN
AU, NUM, NOUN, PROPN
xDOT, NOUN, PROPN, PUNCT
Bandar, PROPN, PUNCT, PROPN
udara, PUNCT, PROPN, NOUN
Sultan, PROPN, NOUN, PROPN
Syarif, NOUN, PROPN, PROPN
Kasim, PROPN, PROPN, NOUN
II, PROPN, NOUN, NUM
(, NOUN, NUM, PUNCT
SSK, NUM, PUNCT, PROPN
xDOT, PUNCT, PROPN, PUNCT
II, PROPN, PUNCT, NUM
), PUNCT, NUM, PUNCT
Pekanbaru, NUM, PUNCT, PROPN
adalah, PUNCT, PROPN, AUX
bandara, PROPN, AUX, NOUN
peninggalan, AUX, NOUN, PROPN
Sejarah, NOUN, PROPN, PROPN
dari, PROPN, PROPN, ADP
zaman, PROPN, ADP, NOUN
kemerdekaan, ADP, NOUN, NOUN
melawan, NOUN, NOUN, VERB
penjajah, NOUN, VERB, NOUN
Belanda, VERB, NOUN, PROPN
dan, NOUN, PROPN, CCONJ
Jepang, PROPN, CCONJ, PROPN
xDOT, CCONJ, PROPN, PUNCT
Bit, UNKNOWN2, UNKNOWN1, NOUN
-, UNKNOWN1, NOUN, PUNCT
bit, NOUN, PUNCT, NOUN
ganjil, PUNCT, NOUN, ADJ
dapat, NOUN, ADJ, ADV
ditingkatkan, ADJ, ADV, VERB
cukup, ADV, VERB, ADV
banyak, VERB, ADV, ADV
dengan, ADV, ADV, ADP
mempertimbangkan, ADV, ADP, VERB
setiap, ADP, VERB, DET
blok, VERB, DET, NOUN
yang, DET, NOUN, PRON
akan, NOUN, PRON, ADV
dikirim, PRON, ADV, VERB
sebagai, ADV, VERB, ADP
matriks, VERB, ADP, NOUN
persegi, ADP, NOUN, NOUN
panjang, NOUN, NOUN, ADJ
dengan, NOUN, ADJ, ADP
lebar, ADJ, ADP, NOUN
n, ADP, NOUN, NOUN
bit, NOUN, NOUN, NOUN
dan, NOUN, NOUN, CCONJ
tinggi, NOUN, CCONJ, NOUN
k, CCONJ, NOUN, NOUN
bit, NOUN, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Spin, UNKNOWN2, UNKNOWN1, PROPN
beranalogi, UNKNOWN1, PROPN, VERB
dengan, PROPN, VERB, ADP
momentum, VERB, ADP, NOUN
sudut, ADP, NOUN, NOUN
suatu, NOUN, NOUN, DET
objek, NOUN, DET, NOUN
yang, DET, NOUN, PRON
berputar, NOUN, PRON, VERB
pada, PRON, VERB, ADP
pusat, VERB, ADP, NOUN
massanya, ADP, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
walaupun, NOUN, PUNCT, SCONJ
secara, PUNCT, SCONJ, ADP
kaku, SCONJ, ADP, NOUN
partikel, ADP, NOUN, NOUN
tidaklah, NOUN, NOUN, PART
berperilaku, NOUN, PART, VERB
seperti, PART, VERB, ADP
ini, VERB, ADP, DET
xDOT, ADP, DET, PUNCT
Lalu, UNKNOWN2, UNKNOWN1, SCONJ
bagaimana, UNKNOWN1, SCONJ, ADV
dengan, SCONJ, ADV, ADP
kisah, ADV, ADP, NOUN
cinta, ADP, NOUN, NOUN
Mutia, NOUN, NOUN, PROPN
dan, NOUN, PROPN, CCONJ
Fadel, PROPN, CCONJ, PROPN
?, CCONJ, PROPN, PUNCT
Pembentukan, UNKNOWN2, UNKNOWN1, NOUN
bursa, UNKNOWN1, NOUN, NOUN
bermula, NOUN, NOUN, VERB
dari, NOUN, VERB, ADP
Lloyds, VERB, ADP, PROPN
Coffee, ADP, PROPN, PROPN
House, PROPN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
yang, PROPN, PUNCT, PRON
dibuka, PUNCT, PRON, VERB
oleh, PRON, VERB, ADP
Edward, VERB, ADP, PROPN
Lloyd, ADP, PROPN, PROPN
sekitar, PROPN, PROPN, ADP
tahun, PROPN, ADP, NOUN
1668, ADP, NOUN, NUM
di, NOUN, NUM, ADP
Tower, NUM, ADP, PROPN
Street, ADP, PROPN, NOUN
xCOMMA, PROPN, NOUN, PUNCT
London, NOUN, PUNCT, PROPN
xDOT, PUNCT, PROPN, PUNCT
Kekutu, UNKNOWN2, UNKNOWN1, PROPN
merupakan, UNKNOWN1, PROPN, VERB
suatu, PROPN, VERB, DET
kesalahan, VERB, DET, NOUN
desain, DET, NOUN, NOUN
pada, NOUN, NOUN, ADP
suatu, NOUN, ADP, DET
perangkat, ADP, DET, NOUN
keras, DET, NOUN, ADJ
komputer, NOUN, ADJ, NOUN
atau, ADJ, NOUN, CCONJ
perangkat, NOUN, CCONJ, NOUN
lunak, CCONJ, NOUN, ADJ
komputer, NOUN, ADJ, NOUN
yang, ADJ, NOUN, PRON
menyebabkan, NOUN, PRON, VERB
peralatan, PRON, VERB, NOUN
atau, VERB, NOUN, CCONJ
program, NOUN, CCONJ, NOUN
itu, CCONJ, NOUN, DET
tidak, NOUN, DET, PART
berfungsi, DET, PART, VERB
semestinya, PART, VERB, ADV
xDOT, VERB, ADV, PUNCT
Apakah, UNKNOWN2, UNKNOWN1, ADV
MAT, UNKNOWN1, ADV, PROPN
PEI, ADV, PROPN, PROPN
sampai, PROPN, PROPN, ADP
hati, PROPN, ADP, NOUN
menolak, ADP, NOUN, VERB
cinta, NOUN, VERB, NOUN
SAFINA, VERB, NOUN, PROPN
yang, NOUN, PROPN, PRON
begitu, PROPN, PRON, ADV
dekat, PRON, ADV, ADJ
dengan, ADV, ADJ, ADP
kedua, ADJ, ADP, NUM
orang, ADP, NUM, NOUN
tuanya, NUM, NOUN, NOUN
?, NOUN, NOUN, PUNCT
Marlene, UNKNOWN2, UNKNOWN1, PROPN
sangat, UNKNOWN1, PROPN, ADV
tertarik, PROPN, ADV, VERB
pada, ADV, VERB, ADP
Jodi, VERB, ADP, PROPN
xCOMMA, ADP, PROPN, PUNCT
dan, PROPN, PUNCT, CCONJ
mereka, PUNCT, CCONJ, PRON
mulai, CCONJ, PRON, VERB
saling, PRON, VERB, ADV
curhat, VERB, ADV, VERB
di, ADV, VERB, ADP
Facebook, VERB, ADP, PROPN
xDOT, ADP, PROPN, PUNCT
Diatessaron, UNKNOWN2, UNKNOWN1, PROPN
milik, UNKNOWN1, PROPN, NOUN
Tatianus, PROPN, NOUN, PROPN
tersebar, NOUN, PROPN, VERB
luas, PROPN, VERB, ADJ
di, VERB, ADJ, ADP
kalangan, ADJ, ADP, NOUN
orang, ADP, NOUN, NOUN
Kristen, NOUN, NOUN, PROPN
Siria, NOUN, PROPN, PROPN
sampai, PROPN, PROPN, ADP
abad, PROPN, ADP, NOUN
ke, ADP, NOUN, NUM
-, NOUN, NUM, PUNCT
5, NUM, PUNCT, NUM
xDOT, PUNCT, NUM, PUNCT
Pertemuannya, UNKNOWN2, UNKNOWN1, NOUN
dengan, UNKNOWN1, NOUN, ADP
Jiang, NOUN, ADP, PROPN
Wen, ADP, PROPN, PROPN
Qing, PROPN, PROPN, PROPN
justru, PROPN, PROPN, ADV
membuat, PROPN, ADV, VERB
mereka, ADV, VERB, PRON
tahu, VERB, PRON, VERB
tugas, PRON, VERB, NOUN
dan, VERB, NOUN, CCONJ
fungsi, NOUN, CCONJ, NOUN
mereka, CCONJ, NOUN, PRON
masing, NOUN, PRON, DET
-, PRON, DET, PUNCT
masing, DET, PUNCT, DET
xDOT, PUNCT, DET, PUNCT
Dea, UNKNOWN2, UNKNOWN1, PROPN
depresi, UNKNOWN1, PROPN, ADJ
karena, PROPN, ADJ, CCONJ
pacarnya, ADJ, CCONJ, NOUN
xCOMMA, CCONJ, NOUN, PUNCT
Adit, NOUN, PUNCT, PROPN
telah, PUNCT, PROPN, ADV
merekam, PROPN, ADV, VERB
dan, ADV, VERB, CCONJ
menyebarkan, VERB, CCONJ, VERB
adegan, CCONJ, VERB, NOUN
mesra, VERB, NOUN, NOUN
mereka, NOUN, NOUN, PRON
ke, NOUN, PRON, ADP
teman, PRON, ADP, NOUN
-, ADP, NOUN, PUNCT
teman, NOUN, PUNCT, NOUN
sekolah, PUNCT, NOUN, NOUN
Dea, NOUN, NOUN, PROPN
melalui, NOUN, PROPN, ADP
internet, PROPN, ADP, NOUN
dan, ADP, NOUN, CCONJ
telepon, NOUN, CCONJ, NOUN
genggam, CCONJ, NOUN, ADJ
xDOT, NOUN, ADJ, PUNCT
Nama, UNKNOWN2, UNKNOWN1, NOUN
umum, UNKNOWN1, NOUN, ADJ
untuk, NOUN, ADJ, ADP
entitas, ADJ, ADP, NOUN
pemerintah, ADP, NOUN, NOUN
daerah, NOUN, NOUN, NOUN
meliputi, NOUN, NOUN, VERB
negara, NOUN, VERB, NOUN
bagian, VERB, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
provinsi, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
region, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
departemen, NOUN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
county, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
prefektur, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
distrik, PROPN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
kota, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
township, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
town, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
borough, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
parish, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
munisipalitas, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
shire, NOUN, PUNCT, NOUN
dan, PUNCT, NOUN, CCONJ
desa, NOUN, CCONJ, NOUN
xDOT, CCONJ, NOUN, PUNCT
Berfirmanlah, UNKNOWN2, UNKNOWN1, PROPN
TUHAN, UNKNOWN1, PROPN, PROPN
kepada, PROPN, PROPN, ADP
Samuel, PROPN, ADP, PROPN
:, ADP, PROPN, PUNCT
``, PROPN, PUNCT, PUNCT
Berapa, PUNCT, PUNCT, NOUN
lama, PUNCT, NOUN, ADJ
lagi, NOUN, ADJ, ADV
engkau, ADJ, ADV, PRON
berdukacita, ADV, PRON, VERB
karena, PRON, VERB, ADP
Saul, VERB, ADP, PROPN
?, ADP, PROPN, PUNCT
Kisah, UNKNOWN2, UNKNOWN1, PROPN
-, UNKNOWN1, PROPN, PUNCT
kisah, PROPN, PUNCT, NOUN
ini, PUNCT, NOUN, DET
diceritakannya, NOUN, DET, VERB
dalam, DET, VERB, ADP
waktu, VERB, ADP, NOUN
seribu, ADP, NOUN, NUM
satu, NOUN, NUM, NUM
malam, NUM, NUM, NOUN
dan, NUM, NOUN, CCONJ
setiap, NOUN, CCONJ, DET
malam, CCONJ, DET, NOUN
Scheherezade, DET, NOUN, PROPN
mengakhiri, NOUN, PROPN, VERB
kisahnya, PROPN, VERB, NOUN
dengan, VERB, NOUN, ADP
akhir, NOUN, ADP, NOUN
yang, ADP, NOUN, PRON
menegangkan, NOUN, PRON, VERB
sehingga, PRON, VERB, SCONJ
sang, VERB, SCONJ, DET
raja, SCONJ, DET, NOUN
pun, DET, NOUN, PART
selalu, NOUN, PART, ADV
menangguhkan, PART, ADV, VERB
perintah, ADV, VERB, NOUN
hukuman, VERB, NOUN, NOUN
mati, NOUN, NOUN, ADJ
pada, NOUN, ADJ, ADP
diri, ADJ, ADP, NOUN
Scheherazade, ADP, NOUN, PROPN
xDOT, NOUN, PROPN, PUNCT
Bangunan, UNKNOWN2, UNKNOWN1, NOUN
tersebut, UNKNOWN1, NOUN, DET
kemudian, NOUN, DET, ADV
diwariskan, DET, ADV, VERB
kepada, ADV, VERB, ADP
putranya, VERB, ADP, NOUN
yang, ADP, NOUN, PRON
bernama, NOUN, PRON, VERB
Khouw, PRON, VERB, PROPN
Kim, VERB, PROPN, PROPN
An, PROPN, PROPN, PROPN
yang, PROPN, PROPN, PRON
lahir, PROPN, PRON, VERB
di, PRON, VERB, ADP
Batavia, VERB, ADP, PROPN
pada, ADP, PROPN, ADP
5, PROPN, ADP, NUM
Juni, ADP, NUM, PROPN
1879, NUM, PROPN, NUM
xDOT, PROPN, NUM, PUNCT
atau, UNKNOWN2, UNKNOWN1, CCONJ
nama, UNKNOWN1, CCONJ, NOUN
kecilnya, CCONJ, NOUN, ADJ
adalah, NOUN, ADJ, AUX
Eisei, ADJ, AUX, PROPN
Amamoto, AUX, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
merupakan, PROPN, PUNCT, VERB
seorang, PUNCT, VERB, DET
aktor, VERB, DET, NOUN
berkebangsaan, DET, NOUN, VERB
Jepang, NOUN, VERB, PROPN
xDOT, VERB, PROPN, PUNCT
Saat, UNKNOWN2, UNKNOWN1, ADV
burung, UNKNOWN1, ADV, NOUN
kembali, ADV, NOUN, VERB
ke, NOUN, VERB, ADP
koloni, VERB, ADP, NOUN
xCOMMA, ADP, NOUN, PUNCT
ia, NOUN, PUNCT, PRON
akan, PUNCT, PRON, ADV
menari, PRON, ADV, VERB
dengan, ADV, VERB, ADP
banyak, VERB, ADP, PUNCT
pasangan, ADP, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
namun, NOUN, PUNCT, SCONJ
setelah, PUNCT, SCONJ, ADP
beberapa, SCONJ, ADP, DET
tahun, ADP, DET, NOUN
ia, DET, NOUN, PRON
akan, NOUN, PRON, ADV
memilih, PRON, ADV, VERB
satu, ADV, VERB, NUM
sebagai, VERB, NUM, ADP
pasangan, NUM, ADP, NOUN
yang, ADP, NOUN, PRON
akan, NOUN, PRON, ADV
bertahan, PRON, ADV, VERB
seumur, ADV, VERB, NOUN
hidup, VERB, NOUN, ADJ
xDOT, NOUN, ADJ, PUNCT
Pinisi, UNKNOWN2, UNKNOWN1, PROPN
sebenarnya, UNKNOWN1, PROPN, ADV
merupakan, PROPN, ADV, VERB
nama, ADV, VERB, NOUN
layar, VERB, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Atum, UNKNOWN2, UNKNOWN1, PROPN
dikenal, UNKNOWN1, PROPN, VERB
orang, PROPN, VERB, NOUN
mesir, VERB, NOUN, PROPN
sebagai, NOUN, PROPN, ADP
dewa, PROPN, ADP, NOUN
matahari, ADP, NOUN, NOUN
atau, NOUN, NOUN, CCONJ
dewa, NOUN, CCONJ, NOUN
yang, CCONJ, NOUN, PRON
mengatur, NOUN, PRON, VERB
matahari, PRON, VERB, NOUN
xDOT, VERB, NOUN, PUNCT
Untuk, UNKNOWN2, UNKNOWN1, ADP
apa, UNKNOWN1, ADP, NOUN
?, ADP, NOUN, PUNCT
Untuk, UNKNOWN2, UNKNOWN1, ADP
mempercepat, UNKNOWN1, ADP, VERB
pembangunan, ADP, VERB, NOUN
xCOMMA, VERB, NOUN, PUNCT
pemerintah, NOUN, PUNCT, NOUN
propinsi, PUNCT, NOUN, NOUN
sangat, NOUN, NOUN, ADV
membutuhkan, NOUN, ADV, VERB
sumber, ADV, VERB, NOUN
daya, VERB, NOUN, NOUN
manusia, NOUN, NOUN, NOUN
yang, NOUN, NOUN, PRON
handal, NOUN, PRON, ADJ
xCOMMA, PRON, ADJ, PUNCT
yaitu, ADJ, PUNCT, ADV
sumber, PUNCT, ADV, NOUN
daya, ADV, NOUN, NOUN
manusia, NOUN, NOUN, NOUN
yang, NOUN, NOUN, PRON
memiliki, NOUN, PRON, VERB
pengetahuan, PRON, VERB, NOUN
xCOMMA, VERB, NOUN, PUNCT
keterampilan, NOUN, PUNCT, NOUN
dan, PUNCT, NOUN, CCONJ
sikap, NOUN, CCONJ, NOUN
yang, CCONJ, NOUN, PRON
baik, NOUN, PRON, ADV
dis, PRON, ADV, ADP
emua, ADV, ADP, ADP
sektor, ADP, ADP, NOUN
antara, ADP, NOUN, ADP
lainnya, NOUN, ADP, ADJ
dibidang, ADP, ADJ, ADP
teknologi, ADJ, ADP, NOUN
komputer, ADP, NOUN, NOUN
dan, NOUN, NOUN, CCONJ
informasi, NOUN, CCONJ, NOUN
xCOMMA, CCONJ, NOUN, PUNCT
pertanian, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
dan, NOUN, PUNCT, CCONJ
pariwisata, PUNCT, CCONJ, NOUN
xDOT, CCONJ, NOUN, PUNCT
Kenapa, UNKNOWN2, UNKNOWN1, ADV
Harus, UNKNOWN1, ADV, VERB
Inul, ADV, VERB, PROPN
?, VERB, PROPN, PUNCT
Liburan, UNKNOWN2, UNKNOWN1, NOUN
yang, UNKNOWN1, NOUN, PRON
indah, NOUN, PRON, ADJ
mendadak, PRON, ADJ, VERB
menjadi, ADJ, VERB, VERB
penuh, VERB, VERB, ADJ
darah, VERB, ADJ, NOUN
xDOT, ADJ, NOUN, PUNCT
Kenapa, UNKNOWN2, UNKNOWN1, ADV
para, UNKNOWN1, ADV, DET
penambang, ADV, DET, NOUN
menggunakan, DET, NOUN, VERB
tembakau, NOUN, VERB, NOUN
kunyah, VERB, NOUN, ADJ
?, NOUN, ADJ, PUNCT
Aloe, UNKNOWN2, UNKNOWN1, PROPN
vera, UNKNOWN1, PROPN, PROPN
/, PROPN, PROPN, SYM
lidah, PROPN, SYM, NOUN
buaya, SYM, NOUN, NOUN
mengandung, NOUN, NOUN, VERB
semua, NOUN, VERB, DET
jenis, VERB, DET, NOUN
vitamin, DET, NOUN, NOUN
kecuali, NOUN, NOUN, ADP
vitamin, NOUN, ADP, NOUN
D, ADP, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
mineral, NOUN, PUNCT, NOUN
yang, PUNCT, NOUN, PRON
diperlukan, NOUN, PRON, VERB
untuk, PRON, VERB, ADP
fungsi, VERB, ADP, NOUN
enzim, ADP, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
saponin, NOUN, PUNCT, NOUN
yang, PUNCT, NOUN, PRON
berfungsi, NOUN, PRON, VERB
sebagai, PRON, VERB, ADP
anti, VERB, ADP, NOUN
mikroba, ADP, NOUN, NOUN
dan, NOUN, NOUN, CCONJ
20, NOUN, CCONJ, NUM
dari, CCONJ, NUM, ADP
22, NUM, ADP, NUM
jenis, ADP, NUM, NOUN
asam, NUM, NOUN, PROPN
amino, NOUN, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Pada, UNKNOWN2, UNKNOWN1, ADP
September, UNKNOWN1, ADP, PROPN
1922, ADP, PROPN, NUM
xCOMMA, PROPN, NUM, PUNCT
saat, NUM, PUNCT, CCONJ
pergantian, PUNCT, CCONJ, NOUN
ketua, CCONJ, NOUN, NOUN
antara, NOUN, NOUN, ADP
Dr, NOUN, ADP, PROPN
xDOT, ADP, PROPN, PUNCT
